league	club	player	nationality	source
Germany	K'lautern	Bilek	Czech Republic	fifa11
Germany	St. Pauli	Kessler	Germany	fifa11
Germany	St. Pauli	Zambrano	Peru	fifa11
Germany	St. Pauli	Thorandt	Germany	fifa11
Germany	St. Pauli	Lechner	Germany	fifa11
Germany	St. Pauli	Drose-Anpen	Germany	manual-audit
Germany	St. Pauli	Eger	Germany	fifa11
Germany	St. Pauli	Gunesch	Germany	fifa11
Germany	St. Pauli	Boll	Germany	fifa11
Germany	St. Pauli	Kalla	Germany	fifa11
Germany	St. Pauli	Lehmann	Germany	fifa11
Germany	St. Pauli	Morena	Germany	fifa11
Germany	St. Pauli	Pliquett	Germany	fifa11
Germany	St. Pauli	Schultz	Germany	fifa11
Germany	St. Pauli	Asamoah	Germany	fifa11
Germany	St. Pauli	Kruse	Germany	fifa11
Germany	St. Pauli	Naki	Germany	fifa11
Germany	St. Pauli	Takyi	Germany	fifa11
Germany	St. Pauli	Sukuta-Pasu	Germany	fifa11
Germany	St. Pauli	Hennings	Germany	fifa11
Germany	St. Pauli	Ebbers	Germany	fifa11
Germany	Bayern	Sattelmaier	Germany	fifa11
Germany	Bayern	Braafheid	Netherlands	fifa11
Germany	Bayern	Alaba	Austria	fifa11
Germany	Bayern	Olic	Croatia	fifa11
Germany	Schalke 04	Schober	Germany	fifa11
Germany	Schalke 04	Matip	Cameroon	fifa11
Germany	Schalke 04	Escudero	Spain	fifa11
Germany	Schalke 04	Moritz	Germany	fifa11
Germany	Schalke 04	Gavranovic	Switzerland	fifa11
Germany	Werder	Mielitz	Germany	fifa11
Germany	Werder	Pasanen	Finland	fifa11
Germany	Werder	Borowski	Germany	fifa11
Germany	Werder	Pizarro	Peru	fifa11
Germany	Leverkusen	Balitsch	Germany	fifa11
Germany	Leverkusen	Kaplan	Turkey	fifa11
Germany	Leverkusen	Jorgensen	Denmark	fifa11
Germany	Dortmund	Langerak	Australia	fifa11
Germany	Dortmund	Dede	Brazil	fifa11
Germany	Dortmund	Feulner	Germany	fifa11
Germany	Dortmund	Le Tallec	France	fifa11
Germany	Stuttgart	Boulahrouz	Netherlands	fifa11
Germany	Stuttgart	Bah	Guinea	fifa11
Germany	Stuttgart	Funk	Germany	fifa11
Germany	Stuttgart	Bicakcic	Bosnia and Herzegovina	manual-audit
Germany	Hamburg	Drobny	Czech Republic	fifa11
Germany	Hamburg	Diekmeier	Germany	fifa11
Germany	Wolfsburg	Hitz	Switzerland	fifa11
Germany	Wolfsburg	Dejagah	Germany	fifa11
Germany	Wolfsburg	Cigerci	Turkey	fifa11
Germany	Wolfsburg	F. Johnson	Germany	fifa11
Germany	Mainz 05	Fathi	Germany	fifa11
Germany	Mainz 05	Risse	Germany	fifa11
Germany	Mainz 05	Szalai	Hungary	fifa11
Germany	Frankfurt	Vasoski	North Macedonia	fifa11
Germany	Frankfurt	Titsch-Rivero	Brazil	fifa11
Germany	Hoffenheim	Gulde	Germany	fifa11
Germany	Hoffenheim	Vukcevic	Germany	fifa11
Germany	Hoffenheim	Tagoe	Ghana	fifa11
Germany	M'gladbach	ter Stegen	Germany	fifa11
Germany	M'gladbach	Anderson	Brazil	fifa11
Germany	M'gladbach	de Camargo	Belgium	fifa11
Germany	M'gladbach	Callsen-Bracker	Germany	fifa11
Germany	Koln	Varvodic	Croatia	fifa11
Germany	Koln	Ionita	Romania	fifa11
Germany	Koln	Yabo	Germany	fifa11
Germany	Koln	Brosinski	Germany	fifa11
Germany	Freiburg	Salz	Germany	fifa11
Germany	Freiburg	Banovic	Croatia	fifa11
Germany	Freiburg	D. Williams	Germany	fifa11
Germany	Hannover 96	Zieler	Germany	fifa11
Germany	Hannover 96	Chahed	Tunisia	fifa11
Germany	Hannover 96	Rausch	Germany	fifa11
Germany	Nurnberg	Nilsson	Sweden	fifa11
Germany	Nurnberg	Mak	Slovakia	fifa11
Germany	Nurnberg	Mendler	Germany	manual-audit
Germany	Nurnberg	Plattenhardt	Germany	manual-audit
Germany	K'lautern	Abel	Germany	fifa11
Germany	K'lautern	Moravek	Czech Republic	fifa11
Germany	K'lautern	Micanski	Bulgaria	fifa11
Germany	K'lautern	Walch	Austria	fifa11
Germany	St. Pauli	Hain	Germany	fifa11
Germany	St. Pauli	Rothenbach	Germany	fifa11
Germany	St. Pauli	Daube	Germany	manual-audit
Germany	St. Pauli	Bartels	Germany	fifa11
France	Marseille	Mandanda	France	fifa11
France	Marseille	Azpilicueta	Spain	fifa11
France	Marseille	Diawara	Senegal	fifa11
France	Marseille	Heinze	Argentina	fifa11
France	Marseille	Taiwo	Nigeria	fifa11
France	Marseille	Lucho	South Korea	fifa11
France	Marseille	Mbia	Belgium	fifa11
France	Marseille	Cheyrou	France	fifa11
France	Marseille	Remy	France	fifa11
France	Marseille	Brandao	Brazil	fifa11
France	Marseille	A. Ayew	Ghana	fifa11
France	Marseille	Andrade	Brazil	fifa11
France	Marseille	J. Ayew	France	fifa11
France	Marseille	Valbuena	France	fifa11
France	Marseille	Krstic	Serbia	manual-audit
France	Marseille	Abriel	France	fifa11
France	Marseille	Kabore	Burkina Faso	fifa11
France	Marseille	Cisse	France	fifa11
France	Marseille	Gignac	France	fifa11
France	Lyon	Lloris	France	fifa11
France	Lyon	Reveillere	France	fifa11
France	Lyon	Gonalons	France	fifa11
France	Lyon	Cris	Brazil	fifa11
France	Lyon	Cissokho	France	fifa11
France	Lyon	Briand	France	fifa11
France	Lyon	Toulalan	France	fifa11
France	Lyon	Makoun	Cameroon	fifa11
France	Lyon	Gomis	France	fifa11
France	Lyon	Bastos	Brazil	fifa11
France	Lyon	Lisandro	Brazil	fifa11
France	Lyon	Vercoutre	France	fifa11
France	Lyon	Gourcuff	France	fifa11
France	Lyon	Grenier	France	fifa11
France	Lyon	Kolodziejczak	Turkey	fifa11
France	Lyon	Pjanic	Bosnia & Herzegovina	fifa11
France	Lyon	Ederson	Brazil	fifa11
France	Lyon	Lovren	Croatia	fifa11
France	Lyon	Kallstrom	Sweden	fifa11
France	Lyon	Lacazette	France	fifa11
France	Auxerre	Sorin	France	fifa11
France	Auxerre	Hengbart	France	fifa11
France	Auxerre	Coulibaly	Mali	fifa11
France	Auxerre	Mignot	France	fifa11
France	Auxerre	Grichting	Switzerland	fifa11
France	Auxerre	Pedretti	France	manual-audit
France	Auxerre	Dudka	Poland	fifa11
France	Auxerre	Chafni	Morocco	fifa11
France	Auxerre	Birsa	Slovenia	fifa11
France	Auxerre	Jelen	Poland	fifa11
France	Auxerre	Tallec	France	fifa11
France	Auxerre	Oliech	Kenya	fifa11
France	Auxerre	Riou	France	fifa11
France	Auxerre	Ndinga	Congo	fifa11
France	Auxerre	Langil	France	fifa11
France	Auxerre	Boly	France	manual-audit
France	Auxerre	Sammaritano	France	fifa11
France	Auxerre	Contout	France	fifa11
France	Auxerre	A. Traore	Burkina Faso	fifa11
France	Lille	Landreau	France	fifa11
France	Lille	Beria	France	fifa11
France	Lille	Rami	France	fifa11
France	Lille	Chedjou	Cameroon	fifa11
France	Lille	Emerson	Brazil	fifa11
France	Lille	Mavuba	France	fifa11
France	Lille	Balmont	France	fifa11
France	Lille	Cabaye	France	fifa11
France	Lille	Hazard	Belgium	fifa11
France	Lille	Gervinho	Ivory Coast	fifa11
France	Lille	Frau	France	fifa11
France	Lille	Butelle	France	fifa11
France	Lille	Sow	France	fifa11
France	Lille	Gueye	Senegal	fifa11
France	Lille	Rozehnal	Czech Republic	fifa11
France	Lille	Debuchy	France	fifa11
France	Lille	Souare	Senegal	manual-audit
France	Lille	Obraniak	Poland	fifa11
France	Lille	De Melo	Brazil	fifa11
France	Montpellier	Jourdren	France	fifa11
France	Montpellier	Jeunechamp	France	fifa11
France	Montpellier	Dzodic	Serbia	fifa11
France	Montpellier	Spahic	Bosnia & Herzegovina	fifa11
France	Montpellier	Collin	France	fifa11
France	Montpellier	Pitau	France	fifa11
France	Montpellier	Marveaux	France	fifa11
France	Montpellier	Costa	Brazil	fifa11
France	Montpellier	Dernis	France	fifa11
France	Montpellier	Kabze	Turkey	fifa11
France	Montpellier	Camara	Senegal	fifa11
France	Montpellier	Pionnier	France	manual-audit
France	Montpellier	Kaoutari	France	fifa11
France	Montpellier	Nelson	Portugal	fifa11
France	Montpellier	Yanga-Mbiwa	France	manual-audit
France	Montpellier	Giroud	France	fifa11
France	Montpellier	Belhanda	France	fifa11
France	Montpellier	Koita	France	fifa11
France	Montpellier	Estrada	Chile	fifa11
France	Montpellier	Saihi	Tunisia	fifa11
France	Bordeaux	Carrasso	France	fifa11
France	Bordeaux	Henrique	Brazil	fifa11
France	Bordeaux	Planus	France	fifa11
France	Bordeaux	Chalme	France	fifa11
France	Bordeaux	Tremoulinas	France	fifa11
France	Bordeaux	Wendel	Brazil	fifa11
France	Bordeaux	Diarra	France	fifa11
France	Bordeaux	Ben Khalfallah	Tunisia	fifa11
France	Bordeaux	Sertic	France	fifa11
France	Bordeaux	Diabate	Mali	fifa11
France	Bordeaux	Modeste	France	fifa11
France	Bordeaux	Rame	France	fifa11
France	Bordeaux	Savic	Serbia	fifa11
France	Bordeaux	Jussie	Brazil	fifa11
France	Bordeaux	Traore	Mali	fifa11
France	Bordeaux	Ciani	France	fifa11
France	Bordeaux	Gouffran	France	fifa11
France	Bordeaux	Plasil	Czech Republic	fifa11
France	Bordeaux	Bellion	France	fifa11
France	Bordeaux	Saivet	France	fifa11
France	Lorient	Audard	France	fifa11
France	Lorient	Baca	France	fifa11
France	Lorient	Bourillon	France	fifa11
France	Lorient	Kone	Ivory Coast	fifa11
France	Lorient	Lan	France	fifa11
France	Lorient	Calve	France	fifa11
France	Lorient	Romao	Togo	fifa11
France	Lorient	Mvuemba	France	fifa11
France	Lorient	Amalfitano	France	fifa11
France	Lorient	Gameiro	France	fifa11
France	Lorient	Kitambala	France	fifa11
France	Lorient	Cappone	France	fifa11
France	Lorient	Boutruche	Nigeria	fifa11
France	Lorient	Ecuele Manga	Gabon	fifa11
France	Lorient	Robert	France	fifa11
France	Lorient	Diarra	Mali	fifa11
France	Lorient	Jouffre	France	fifa11
France	Lorient	Pinard	France	manual-audit
France	Monaco	Ruffier	France	fifa11
France	Monaco	Lolo	Ivory Coast	fifa11
France	Monaco	Puygrenier	France	fifa11
France	Monaco	Mongongu	DR Congo	fifa11
France	Monaco	Traore	Mali	fifa11
France	Monaco	Nkoulou	Cameroon	manual-audit
France	Monaco	Haruna	Nigeria	fifa11
France	Monaco	Mbokani	DR Congo	fifa11
France	Monaco	Gosso	Ivory Coast	fifa11
France	Monaco	Mollo	France	fifa11
France	Monaco	Park	South Korea	fifa11
France	Monaco	Roma	Italy	fifa11
France	Monaco	Hansson	Sweden	fifa11
France	Monaco	Bonnart	France	manual-audit
France	Monaco	Niculae	Romania	fifa11
France	Monaco	Adriano	Brazil	fifa11
France	Monaco	Licata	France	fifa11
France	Monaco	Alonso	Argentina	fifa11
France	Monaco	Coutadeur	France	fifa11
France	Monaco	Malonga	France	fifa11
France	Rennes	Douchez	France	fifa11
France	Rennes	Fanni	France	fifa11
France	Rennes	Mangane	Senegal	fifa11
France	Rennes	Kana-Biyik	France	fifa11
France	Rennes	Theophile-Catherine	France	manual-audit
France	Rennes	Leroy	France	fifa11
France	Rennes	Tettey	Norway	fifa11
France	Rennes	Lemoine	France	fifa11
France	Rennes	Bangoura	Guinea	fifa11
France	Rennes	Marveaux	France	fifa11
France	Rennes	Montano	Colombia	fifa11
France	Rennes	Luzi	France	manual-audit
France	Rennes	Kembo	China PR	fifa11
France	Rennes	Dalmat	France	fifa11
France	Rennes	Doumbia	Ivory Coast	fifa11
France	Rennes	Brahimi	Algeria	manual-audit
France	Rennes	M'Vila	Spain	fifa11
France	Valenciennes	Penneteau	France	fifa11
France	Valenciennes	Mater	France	fifa11
France	Valenciennes	Bisevac	Serbia	fifa11
France	Valenciennes	Schmitz	Germany	fifa11
France	Valenciennes	Angoua	Ivory Coast	fifa11
France	Valenciennes	Saez	France	fifa11
France	Valenciennes	Sanchez	Colombia	fifa11
France	Valenciennes	Cohade	France	fifa11
France	Valenciennes	Kadir	Algeria	fifa11
France	Valenciennes	Danic	France	fifa11
France	Valenciennes	Pujol	France	fifa11
France	Valenciennes	Grondin	France	fifa11
France	Valenciennes	Samassa	Mali	fifa11
France	Valenciennes	Bong	Cameroon	fifa11
France	Valenciennes	Dossevi	France	fifa11
France	Valenciennes	Ducourtioux	France	fifa11
France	Valenciennes	Bangoura	Guinea	fifa11
France	Valenciennes	Lacourt	France	fifa11
France	Valenciennes	Khiter	France	fifa11
France	Valenciennes	Aboubakar	Cameroon	fifa11
France	Lens	Runje	Croatia	fifa11
France	Lens	Demont	France	fifa11
France	Lens	Yahia	Tunisia	fifa11
France	Lens	Chelle	Mali	fifa11
France	Lens	Ramos	Portugal	fifa11
France	Lens	Kovacevic	Serbia	fifa11
France	Lens	Hermach	Morocco	fifa11
France	Lens	Boukari	France	fifa11
France	Lens	Maoulida	France	fifa11
France	Lens	Jemaa	Tunisia	fifa11
France	Lens	Eduardo	Brazil	fifa11
France	Lens	Kasraoui	Tunisia	fifa11
France	Lens	Aurier	Ivory Coast	manual-audit
France	Lens	Sartre	France	fifa11
France	Lens	Monnet-Paquet	France	fifa11
France	Lens	Milovanovic	Serbia	manual-audit
France	Lens	Roudet	France	fifa11
France	Lens	Kapo	Brazil	fifa11
France	Lens	Veselinovic	Serbia	manual-audit
France	Lens	Sow	Mali	fifa11
France	Nancy	Gregorini	France	fifa11
France	Nancy	Chretien	Morocco	fifa11
France	Nancy	A. Luiz	Brazil	fifa11
France	Nancy	Sami	DR Congo	fifa11
France	Nancy	Lemaitre	France	fifa11
France	Nancy	Bakar	France	fifa11
France	Nancy	Diakite	France	fifa11
France	Nancy	Traore	France	fifa11
France	Nancy	Feret	France	fifa11
France	Nancy	Hadji	South Korea	fifa11
France	Nancy	Efoulou	Cameroon	fifa11
France	Nancy	Bracigliano	France	fifa11
France	Nancy	Helder	Portugal	manual-audit
France	Nancy	L. Luiz	Brazil	fifa11
France	Nancy	Cuvillier	France	fifa11
France	Nancy	Vahirua	France	fifa11
France	Nancy	N'Diaye	Senegal	manual-audit
France	Nancy	Brison	South Korea	fifa11
France	Nancy	Gunnarsson	Iceland	fifa11
France	Nancy	Correa	Argentina	fifa11
France	Paris SG	Coupet	France	fifa11
France	Paris SG	Ceara	Brazil	fifa11
France	Paris SG	Camara	France	fifa11
France	Paris SG	Sakho	France	fifa11
France	Paris SG	Armand	France	fifa11
France	Paris SG	Giuly	France	fifa11
France	Paris SG	Makelele	France	fifa11
France	Paris SG	Clement	France	fifa11
France	Paris SG	Sessegnon	Benin	fifa11
France	Paris SG	Hoarau	France	fifa11
France	Paris SG	Erding	Turkey	manual-audit
France	Paris SG	Grondin	France	fifa11
France	Paris SG	Makonda	France	manual-audit
France	Paris SG	Traore	Mali	fifa11
France	Paris SG	Chantome	France	fifa11
France	Paris SG	Luyindula	France	fifa11
France	Paris SG	Nene	Brazil	fifa11
France	Paris SG	Tiene	Ivory Coast	fifa11
France	Paris SG	Boli	France	fifa11
France	Paris SG	Bodmer	France	fifa11
France	Toulouse	Pele	France	fifa11
France	Toulouse	Congre	France	fifa11
France	Toulouse	Cetto	Argentina	fifa11
France	Toulouse	Fofana	France	fifa11
France	Toulouse	M'Bengue	Senegal	manual-audit
France	Toulouse	Capoue	France	fifa11
France	Toulouse	Braaten	Norway	fifa11
France	Toulouse	Didot	France	fifa11
France	Toulouse	Sissoko	France	fifa11
France	Toulouse	Santander	Paraguay	fifa11
France	Toulouse	Larsen	Denmark	fifa11
France	Toulouse	Blondel	France	fifa11
France	Toulouse	Abdennour	Tunisia	manual-audit
France	Toulouse	Gunino	Uruguay	fifa11
France	Toulouse	Machado	Portugal	fifa11
France	Toulouse	Devaux	France	fifa11
France	Toulouse	Pentecote	France	fifa11
France	Toulouse	Tafer	France	fifa11
France	Toulouse	Tabanou	France	fifa11
France	Toulouse	Soukouna	France	manual-audit
France	Nice	Ospina	Colombia	fifa11
France	Nice	Diakite	Mali	fifa11
France	Nice	Civelli	Argentina	fifa11
France	Nice	Quartey	Ghana	fifa11
France	Nice	Paisley	France	fifa11
France	Nice	Fae	Ivory Coast	fifa11
France	Nice	Echouafni	Morocco	manual-audit
France	Nice	Hellebuyck	France	fifa11
France	Nice	Saada	Tunisia	fifa11
France	Nice	Bagayoko	Mali	fifa11
France	Nice	Mounier	France	fifa11
France	Nice	Letizi	France	fifa11
France	Nice	Cantareil	France	fifa11
France	Nice	Digard	France	fifa11
France	Nice	Pejcinovic	Serbia	fifa11
France	Nice	Sable	France	fifa11
France	Nice	Sae	France	manual-audit
France	Nice	Edelson	Brazil	fifa11
France	Nice	Quansah	Ghana	fifa11
France	Nice	Pote	Benin	fifa11
France	Sochaux	Richert	France	fifa11
France	Sochaux	Stevanovic	Slovenia	fifa11
France	Sochaux	Faty	Senegal	fifa11
France	Sochaux	Brechet	France	fifa11
France	Sochaux	Mikari	Tunisia	fifa11
France	Sochaux	Perquis	France	fifa11
France	Sochaux	Anin	France	fifa11
France	Sochaux	Boudebouz	Algeria	fifa11
France	Sochaux	Maurice-Belay	France	fifa11
France	Sochaux	Maiga	Mali	fifa11
France	Sochaux	Ideye	Nigeria	fifa11
France	Sochaux	Nogueira	France	fifa11
France	Sochaux	Carlao	Brazil	fifa11
France	Sochaux	Jokic	Serbia	fifa11
France	Sochaux	Pitau	France	fifa11
France	Sochaux	Sauget	France	fifa11
France	Sochaux	Martin	France	fifa11
France	Sochaux	Tulasne	France	fifa11
France	Sochaux	Santos	Portugal	fifa11
France	Sochaux	Butin	France	fifa11
France	Arles	Plante	France	fifa11
France	St-Etienne	Perrin	France	fifa11
France	St-Etienne	Bayal	Senegal	manual-audit
France	St-Etienne	Ebondo	France	fifa11
France	St-Etienne	Guilavogui	France	fifa11
France	St-Etienne	Matuidi	France	fifa11
France	St-Etienne	Sako	France	fifa11
France	St-Etienne	Sanogo	Ivory Coast	fifa11
France	St-Etienne	Payet	France	fifa11
France	St-Etienne	Bergessio	Argentina	fifa11
France	St-Etienne	Coulibaly	Senegal	fifa11
France	St-Etienne	S. Marchal	France	fifa11
France	St-Etienne	Riviere	France	fifa11
France	St-Etienne	Bocanegra	United States	fifa11
France	St-Etienne	Alonso	Cuba	fifa11
France	St-Etienne	M. Marchal	France	fifa11
France	St-Etienne	Monsoreau	France	fifa11
France	St-Etienne	Nery	France	manual-audit
France	St-Etienne	Batlles	France	fifa11
France	Caen	Bosmel	France	manual-audit
France	Caen	Boucansaud	France	manual-audit
France	Caen	Gillet	Belgium	fifa11
France	Caen	Marcq	France	fifa11
France	Caen	Tafforeau	France	fifa11
France	Caen	Deroin	France	fifa11
France	Caen	Nivet	France	fifa11
France	Caen	Hamouma	France	fifa11
France	Caen	Leca	France	fifa11
France	Caen	K. Traore	Ivory Coast	fifa11
France	Caen	Nabab	Guadeloupe	manual-audit
France	Caen	Perquis	France	fifa11
France	Caen	Thebaux	France	fifa11
France	Caen	Bertoli	France	manual-audit
France	Caen	Zubar	France	fifa11
France	Caen	Seube	France	fifa11
France	Caen	Heurtaux	France	fifa11
France	Caen	Yatabare	France	fifa11
France	Caen	El-Arabi	France	fifa11
France	Caen	Traore	Ivory Coast	fifa11
France	Brest	Cappone	France	fifa11
France	Brest	Apanga	Gabon	fifa11
France	Brest	Kantari	Morocco	fifa11
France	Brest	Lorenzi	France	fifa11
France	Brest	Daf	Senegal	fifa11
France	Brest	Baysse	France	fifa11
France	Brest	Poyet	France	fifa11
France	Brest	Ferradj	France	fifa11
France	Brest	Micola	Czech Republic	fifa11
France	Brest	Toure	Guinea	fifa11
France	Brest	Soumah	France	fifa11
France	Brest	Deneuve	France	fifa11
France	Brest	Elana	France	fifa11
France	Brest	Martial	France	manual-audit
France	Brest	Ewolo	Congo	fifa11
France	Brest	Lesoimier	France	fifa11
France	Brest	Grougi	France	fifa11
France	Brest	Sissoko	France	fifa11
France	Brest	Roux	France	fifa11
France	Brest	Ayite	Togo	fifa11
France	Arles	Puydebois	France	manual-audit
France	Arles	Soro	Ivory Coast	fifa11
France	Arles	Pavon	Spain	fifa11
France	Arles	Laurenti	France	fifa11
France	Arles	Ait Ben Idir	France	fifa11
France	Arles	Meriem	France	fifa11
France	Arles	Ndiaye	Senegal	manual-audit
France	Arles	Ayasse	France	fifa11
France	Arles	Piocelle	France	fifa11
France	Arles	Charisteas	Greece	fifa11
France	Arles	Djedje	France	fifa11
France	Arles	Loutre	France	manual-audit
France	Arles	Maire	France	manual-audit
France	Arles	Mejia	Spain	fifa11
France	Arles	Germain	France	manual-audit
France	Arles	Correia	Portugal	fifa11
France	Arles	K. Diawara	Guinea	fifa11
France	Arles	Diarra	Mali	fifa11
France	Arles	Ghilas	Algeria	fifa11
France	Arles	Hubert	Belgium	fifa11
France	Marseille	Hilton	Brazil	fifa11
France	Marseille	N'Diaye	Senegal	manual-audit
France	Marseille	Sabo	France	fifa11
France	Marseille	Gnabouyou	France	manual-audit
France	Lyon	Diakhate	Senegal	fifa11
France	Lyon	Pied	France	fifa11
France	Lyon	Delgado	Argentina	fifa11
France	Lyon	Gassama	France	fifa11
France	Auxerre	Berthod	France	fifa11
France	Auxerre	Quercia	France	fifa11
France	Lille	Mouko	Congo	fifa11
France	Lille	Vandam	France	manual-audit
France	Lille	Dumont	France	fifa11
France	Montpellier	Bocaly	France	fifa11
France	Montpellier	Ait-Fana	France	fifa11
France	Montpellier	Stambouli	France	fifa11
France	Bordeaux	Keita	Norway	fifa11
France	Bordeaux	Sane	France	fifa11
France	Bordeaux	Marange	France	fifa11
France	Lorient	Lecomte	France	manual-audit
France	Lorient	Autret	France	fifa11
France	Lorient	Coquelin	France	fifa11
France	Monaco	Muratori	France	fifa11
France	Monaco	N. Mendy	Senegal	fifa11
France	Monaco	Bulot	Gabon	manual-audit
France	Rennes	Diallo	Mali	fifa11
France	Rennes	Boye	Ghana	fifa11
France	Rennes	Mandjeck	Cameroon	fifa11
France	Rennes	Jebbour	Algeria	fifa11
France	Valenciennes	Leca	France	fifa11
France	Valenciennes	Isimat-Mirin	France	manual-audit
France	Valenciennes	Gomis	Senegal	fifa11
France	Lens	Queudrue	France	manual-audit
France	Lens	Akale	Ivory Coast	fifa11
France	Lens	Joseph-Monrose	France	fifa11
France	Nancy	Berenguer	France	fifa11
France	Nancy	Jeannot	France	fifa11
France	Paris SG	Edel	Armenia	fifa11
France	Paris SG	Jallet	France	fifa11
France	Paris SG	Bahebeck	Germany	fifa11
France	Toulouse	Ahamada	France	manual-audit
France	Toulouse	Akpa Akpro	Brazil	fifa11
France	Toulouse	Regattin	Morocco	manual-audit
France	Nice	Traore	Mali	fifa11
France	Nice	Ljuboja	Serbia	fifa11
France	Sochaux	Dreyer	France	fifa11
France	Sochaux	Poujol	France	manual-audit
France	St-Etienne	Janot	France	fifa11
France	St-Etienne	Andreu	France	fifa11
France	St-Etienne	Landrin	France	fifa11
France	Caen	Raineau	France	manual-audit
France	Caen	Moulin	China PR	fifa11
France	Caen	M. Niang	Senegal	fifa11
France	Brest	Licka	Czech Republic	fifa11
France	Brest	Bigne	France	fifa11
France	Arles	Balde	Guinea	fifa11
France	Arles	Kermorgant	France	fifa11
France	Arles	Cabella	Spain	fifa11
