league	club	player	nationality	source
England	Wolves	Elokobi	Cameroon	fifa11
England	Wolves	Kightly	England	fifa11
England	Wolves	Henry	England	fifa11
England	Wolves	Milijas	Serbia	fifa11
England	Wolves	Edwards	Wales	fifa11
England	Wolves	Ebanks-Blake	England	fifa11
England	Wolves	Doyle	United States	fifa11
England	Wolves	Ikeme	England	fifa11
England	Wolves	Mouyokolo	France	fifa11
England	Wolves	Van Damme	Belgium	fifa11
England	Wolves	Fletcher	Wales	fifa11
England	Wolves	Hunt	Republic of Ireland	fifa11
England	Wolves	Keogh	Republic of Ireland	fifa11
England	Wolves	Ward	England	fifa11
England	Wolves	Jarvis	England	fifa11
England	Wolves	Vokes	Wales	fifa11
England	Wigan	Kirkland	England	fifa11
England	Wigan	Stam	Netherlands	fifa11
England	Wigan	Gohouri	Ivory Coast	fifa11
England	Wigan	Boyce	Barbados	fifa11
England	Wigan	Figueroa	Honduras	fifa11
England	Wigan	Diame	France	fifa11
England	Wigan	Thomas	Honduras	fifa11
England	Wigan	McCarthy	Republic of Ireland	fifa11
England	Wigan	Boselli	Argentina	fifa11
England	Wigan	J. Gomez	Spain	fifa11
England	Wigan	Rodallega	Colombia	fifa11
England	Wigan	Al-Habsi	Oman	fifa11
England	Wigan	Caldwell	Scotland	fifa11
England	Wigan	Moses	England	fifa11
England	Wigan	Alcaraz	Paraguay	fifa11
England	Wigan	McArthur	Scotland	fifa11
England	Wigan	Cleverley	England	fifa11
England	Wigan	N'Zogbia	Belgium	fifa11
England	Wigan	Watson	England	fifa11
England	Wigan	Di Santo	Argentina	fifa11
England	West Ham	Green	England	fifa11
England	West Ham	Faubert	France	fifa11
England	West Ham	Upson	England	fifa11
England	West Ham	Da Costa	Portugal	fifa11
England	West Ham	Ilunga	DR Congo	fifa11
England	West Ham	Stanislas	England	fifa11
England	West Ham	Parker	England	fifa11
England	West Ham	Barrera	Mexico	fifa11
England	West Ham	Hitzlsperger	Germany	fifa11
England	West Ham	Obinna	Nigeria	fifa11
England	West Ham	Cole	England	fifa11
England	West Ham	Stech	Czech Republic	fifa11
England	West Ham	Tomkins	England	fifa11
England	West Ham	Reid	New Zealand	fifa11
England	West Ham	Noble	England	fifa11
England	West Ham	Spector	United States	fifa11
England	West Ham	Piquionne	France	fifa11
England	West Ham	Boa Morte	Portugal	fifa11
England	West Ham	Collison	Wales	fifa11
England	West Ham	Behrami	Switzerland	fifa11
England	Newcastle	Harper	England	fifa11
England	Newcastle	Simpson	England	fifa11
England	Newcastle	Enrique	Spain	fifa11
England	Newcastle	Coloccini	Argentina	fifa11
England	Newcastle	Williamson	England	fifa11
England	Newcastle	Nolan	England	fifa11
England	Newcastle	Tiote	Ivory Coast	fifa11
England	Newcastle	Barton	England	fifa11
England	Newcastle	Best	Republic of Ireland	fifa11
England	Newcastle	Smith	England	fifa11
England	Newcastle	Lovenkrands	Denmark	manual-audit
England	Newcastle	Krul	Netherlands	fifa11
England	Newcastle	Taylor	England	fifa11
England	Newcastle	Guthrie	England	fifa11
England	Newcastle	Routledge	England	fifa11
England	Newcastle	Perch	England	fifa11
England	Newcastle	Arfa	France	fifa11
England	Newcastle	Carroll	England	fifa11
England	Newcastle	Gutierrez	Argentina	fifa11
England	Newcastle	Ameobi	England	fifa11
England	West Brom	Carson	England	fifa11
England	West Brom	Mattock	England	fifa11
England	West Brom	Olsson	Sweden	fifa11
England	West Brom	Cech	Slovakia	fifa11
England	West Brom	Jara	Chile	fifa11
England	West Brom	Scharner	Austria	fifa11
England	West Brom	Brunt	Northern Ireland	fifa11
England	West Brom	Dorrans	Scotland	fifa11
England	West Brom	Morrison	Scotland	fifa11
England	West Brom	Bednar	Czech Republic	fifa11
England	West Brom	Odemwingie	Nigeria	fifa11
England	West Brom	Myhill	Wales	fifa11
England	West Brom	Ibanez	Mexico	fifa11
England	West Brom	Zuiverloon	Netherlands	fifa11
England	West Brom	Tamas	Romania	fifa11
England	West Brom	Mulumbu	DR Congo	fifa11
England	West Brom	Shorey	England	fifa11
England	West Brom	Thomas	England	fifa11
England	West Brom	Tchoyi	Cameroon	fifa11
England	West Brom	Reid	Republic of Ireland	fifa11
England	Blackpool	Kingson	South Korea	fifa11
England	Blackpool	Cathcart	Northern Ireland	fifa11
England	Blackpool	Eardley	Wales	fifa11
England	Blackpool	Crainey	Scotland	fifa11
England	Blackpool	Evatt	England	fifa11
England	Blackpool	Vaughan	Wales	fifa11
England	Blackpool	Varney	England	fifa11
England	Blackpool	Adam	Scotland	fifa11
England	Blackpool	Baptiste	England	fifa11
England	Blackpool	Harewood	England	fifa11
England	Blackpool	Gilks	Scotland	fifa11
England	Blackpool	Grandin	France	fifa11
England	Blackpool	Campbell	England	fifa11
England	Blackpool	Keinan	Israel	fifa11
England	Blackpool	Ormerod	England	fifa11
England	Blackpool	Taylor-Fletcher	England	fifa11
England	Blackpool	Sylvestre	France	fifa11
England	Blackpool	Carney	Australia	fifa11
England	Blackpool	Southern	England	fifa11
England	Blackpool	Basham	England	fifa11
England	Chelsea	Turnbull	England	fifa11
England	Chelsea	Van Aanholt	Netherlands	fifa11
England	Chelsea	McEachran	England	fifa11
England	Chelsea	Kakuta	France	fifa11
England	Man United	O'Shea	United States	fifa11
England	Man United	Brown	England	fifa11
England	Man United	Gibson	Republic of Ireland	fifa11
England	Man United	Owen	England	fifa11
England	Man United	Bebe	Portugal	fifa11
England	Arsenal	Almunia	Spain	fifa11
England	Arsenal	Djourou	Switzerland	fifa11
England	Arsenal	Eboue	Ivory Coast	fifa11
England	Arsenal	Vela	Mexico	fifa11
England	Arsenal	Mannone	Italy	fifa11
England	Tottenham	Bassong	Cameroon	fifa11
England	Tottenham	Jenas	England	fifa11
England	Tottenham	Kranjcar	Croatia	fifa11
England	Tottenham	Keane	Republic of Ireland	fifa11
England	Tottenham	Woodgate	England	fifa11
England	Man City	Richards	England	fifa11
