club	player
CD Nacional	Bracalli
CS Marítimo	Baba Diawara
CS Marítimo	Marquinho
Estoril Praia	Mário Matos
Estoril Praia	Cléber
Estoril Praia	Lameirão
Estoril Praia	Filipe da Costa
Estoril Praia	Vinícius Reche
Estoril Praia	Alex Afonso
Estoril Praia	Marco Silva
Estoril Praia	Tiago Gomes
Estoril Praia	André Castro
Estoril Praia	Jefferson
Estoril Praia	Luís Carlos
Estoril Praia	Licá
Paços de Ferreira	Ricardo Dias
Paços de Ferreira	William
Rio Ave	Tiago Targino
Rio Ave	Kelvin
Vitória Setúbal	Ricardo Batista
Vitória Setúbal	Joãozinho
Vitória Setúbal	Zé Pedro
Vitória Setúbal	Leandro Branco
Astra Ploiești	Silviu Lung Jr.
Astra Ploiești	Miron
Astra Ploiești	Ovidiu Mihalache
Astra Ploiești	Florin Lovin
Astra Ploiești	Nicolae Grigore
Astra Ploiești	Gabriel Enache
Astra Ploiești	Fatai Kehinde
Astra Ploiești	Mirko Ivanovski
Astra Ploiești	Bogdan Chipirliu
Astra Ploiești	Marian Cristescu
Oțelul Galați	Cornel Cernea
Oțelul Galați	Marius Matei
Oțelul Galați	Cristian Ochiroșii
Rapid București	Dan Alexa
FC Timișoara	Cosmin Contra
FC Timișoara	Ioan Mera
FC Timișoara	Cristian Scutaru
FC Timișoara	Marian Cisovsky
FC Timișoara	Alexandru Curtean
FC Timișoara	Dare Vršič
FC Timișoara	Lukáš Magera
FC Timișoara	Mansour Gueye
FC Timișoara	Alexandru Popovici
FC Timișoara	Adrian Poparadu
FC Timișoara	Cosmin Matei
SC Vaslui	Genchev
Anzhi Makhachkala	Zurabi Arziani
Anzhi Makhachkala	Magomed Magomedov
Anzhi Makhachkala	Eldar Nizamutdinov
FC Krasnodar	Aleksandr Amisulashvili
FC Krasnodar	Aleksandr Kulchiy
FC Krasnodar	Yura Movsisyan
FC Krasnodar	Marcos Pizzelli
FC Krasnodar	Vladimir Tatarchuk Jr.
FC Krasnodar	Andrey Mikhaylov
FC Krasnodar	Marcio Abreu
FC Krasnodar	Wanderson
FC Krasnodar	Vladimir Koman
Kuban Krasnodar	Aleksandr Belenov
Kuban Krasnodar	Aleksey Kozlov
Kuban Krasnodar	Lacina Traoré
Kuban Krasnodar	Sergei Davydov
Kuban Krasnodar	Aleksandr Kasaev
Kuban Krasnodar	Dmitri Khomich
Kuban Krasnodar	Denis Zubko
Rubin Kazan	Bibras Natkho
Spartak Moscow	Ari
Spartak Moscow	Aleks
Spartak Moscow	Rafael Carioca
Rangers	Andrew Webster
Rangers	Steven Smith
Heart of Midlothian	Jason Thomson
Red Star Belgrade	Marko Dmitrović
Slovan Bratislava	Martin Šebo
Slovan Bratislava	Lester Peltier
Slovan Bratislava	Róbert Vittek
NK Maribor	Jasmin Handanović
NK Maribor	Arghus
NK Maribor	Dejan Trajkovski
NK Maribor	Martin Milec
NK Maribor	Etien Velikonja
NK Maribor	Agim Ibraimi
NK Maribor	Nejc Potokar
AIK	Daniel Örlund
AIK	Teteh Bangura
FC St. Gallen	Moreno Merenda
FC Thun	Nelson Ferreira
FC Thun	Marco Aratore
Lausanne-Sport	Abdoulaye Ba
Lausanne-Sport	Stéphane Nater
Lausanne-Sport	Moustapha Tall
Lausanne-Sport	Yannis Tafer
Lausanne-Sport	Yves Miéville
Lausanne-Sport	Raphaël Khelifi
Lausanne-Sport	Gaëtan Karlen
FC Sion	Serey Die
FC Sion	Moustapha Dabo
Trabzonspor	Jajá Coelho
Dynamo Kyiv	Yussuf Ayila
Karpaty Lviv	Andriy Tlumak
Karpaty Lviv	Ivan Milošević
Karpaty Lviv	Nemanja Tubić
