club_id	club	source_name	source_url	score	status
eu_slovakia_slovan-bratislava	Slovan Bratislava	Slovan Bratislava	https://www.eurofotbal.cz/kluby/slovensko/slovan-bratislava/soupiska/2010-2011/	1.000	CONFIRMED
eu_slovenia_nk-maribor	NK Maribor	NK Maribor	https://www.eurofotbal.cz/kluby/slovinsko/nk-maribor/soupiska/2010-2011/	1.000	CONFIRMED
eu_sweden_aik	AIK	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/svedsko/aik-solna/soupiska/2010/	1.000	CONFIRMED
eu_sweden_helsingborgs-if	Helsingborgs IF	Helsingborgs IF	https://www.eurofotbal.cz/kluby/svedsko/helsingborgs-if/soupiska/2010/	1.000	CONFIRMED
eu_sweden_if-elfsborg	IF Elfsborg	IF Elfsborg	https://www.eurofotbal.cz/kluby/svedsko/if-elfsborg/soupiska/2010/	1.000	CONFIRMED
eu_sweden_malmo-ff	Malmö FF	Malmö FF	https://www.eurofotbal.cz/kluby/svedsko/malm-ff/soupiska/2010/	1.000	CONFIRMED
eu_sweden_ifk-goteborg	IFK Göteborg	IFK Göteborg	https://www.eurofotbal.cz/kluby/svedsko/ifk-goteborg/soupiska/2010/	1.000	CONFIRMED
eu_switzerland_bsc-young-boys	BSC Young Boys	BSC Young Boys	https://www.eurofotbal.cz/kluby/svycarsko/bsc-young-boys/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_fc-basel	FC Basel	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/svycarsko/fc-basilej/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_fc-st-gallen	FC St. Gallen	FC St. Gallen	https://www.eurofotbal.cz/kluby/svycarsko/fc-st-gallen/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_fc-thun	FC Thun	FC Thun	https://www.eurofotbal.cz/kluby/svycarsko/fc-thun/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_fc-zurich	FC Zürich	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/svycarsko/fc-curych/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_lausanne-sport	Lausanne-Sport	Lausanne Sport	https://www.eurofotbal.cz/kluby/svycarsko/lausanne-sport/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_grasshopper-club-zurich	Grasshopper Club Zürich	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/svycarsko/grasshopper-curych/soupiska/2010-2011/	1.000	CONFIRMED
eu_switzerland_fc-sion	FC Sion	FC Sion	https://www.eurofotbal.cz/kluby/svycarsko/fc-sion/soupiska/2010-2011/	1.000	CONFIRMED
eu_turkey_besiktas	Beşiktaş	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/turecko/besiktas-jk/soupiska/2010-2011/	1.000	CONFIRMED
eu_turkey_bursaspor	Bursaspor	Bursaspor	https://www.eurofotbal.cz/kluby/turecko/bursaspor/soupiska/2010-2011/	1.000	CONFIRMED
eu_turkey_fenerbahce	Fenerbahçe	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/turecko/fenerbahce-sk/soupiska/2010-2011/	1.000	CONFIRMED
eu_turkey_galatasaray	Galatasaray	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/turecko/galatasaray-sk/soupiska/2010-2011/	1.000	CONFIRMED
eu_turkey_trabzonspor	Trabzonspor	Trabzonspor	https://www.eurofotbal.cz/kluby/turecko/trabzonspor/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_dynamo-kyiv	Dynamo Kyiv	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/ukrajina/dynamo-kyjev/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_karpaty-lviv	Karpaty Lviv	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/ukrajina/karpaty-lvov/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_metalist-kharkiv	Metalist Kharkiv	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/ukrajina/metalist-charkov/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_shakhtar-donetsk	Shakhtar Donetsk	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/ukrajina/sachtar-doneck/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_vorskla-poltava	Vorskla Poltava	Vorskla Poltava	https://www.eurofotbal.cz/kluby/ukrajina/vorskla-poltava/soupiska/2010-2011/	1.000	CONFIRMED
eu_ukraine_dnipro-dnipropetrovsk	Dnipro Dnipropetrovsk	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/ukrajina/dnepr-dnepropetrovsk/soupiska/2010-2011/	1.000	CONFIRMED
